"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC03000402.hg.1",-1.52607986060606,4.32130796464647,-15.3259542970359,1.5986797613266e-35,5.4335696712303e-31,69.8233203242145,"TC03000402.hg.1"
"TC03002373.hg.1",-1.68393562424242,4.24309467676768,-15.3121879578755,1.76180126674537e-35,5.4335696712303e-31,69.7283137069896,"TC03002373.hg.1"
"TC13001440.hg.1",-1.39996784242424,2.69470113131313,-14.3142391523282,2.05064343457245e-32,2.89235053872706e-28,62.8215699623847,"TC13001440.hg.1"
"TC13000587.hg.1",-1.45335341212121,2.71488136868687,-14.211129929009,4.25786137534376e-32,5.0046192962228e-28,62.1064080688798,"TC13000587.hg.1"
"TC17000693.hg.1",-1.1291100969697,5.02408646464647,-14.1739927022633,5.53969168453604e-32,5.58108109526479e-28,61.8487867975754,"TC17000693.hg.1"
"TC17001829.hg.1",-2.07476163636364,3.20951451515152,-13.653631051882,2.21340234848231e-30,1.56095773822018e-26,58.2380133894245,"TC17001829.hg.1"
"TC17001828.hg.1",-1.11396687272727,2.33583196969697,-13.4196885881113,1.16087403303093e-29,6.2975630331877e-26,56.6149449511665,"TC17001828.hg.1"
"TC08000294.hg.1",-1.50040356363636,3.71800457575757,-12.9262200855179,3.81117288936718e-28,1.49319636487134e-24,53.1948104813037,"TC08000294.hg.1"
"TC04002478.hg.1",-1.20855646666666,2.22742521717172,-12.8226748671904,7.92029375809038e-28,2.93980461422004e-24,52.4781279411965,"TC04002478.hg.1"
"TC13000763.hg.1",-1.16096318787879,5.62859634343434,-12.4667499098239,9.74930439406362e-27,2.54648219919463e-23,50.0183567534361,"TC13000763.hg.1"
"TC19002418.hg.1",-1.39668619393939,2.12355053535353,-12.4093139613419,1.46085787761164e-26,3.55255448630364e-23,49.6220621743542,"TC19002418.hg.1"
"TC19001371.hg.1",-1.7468575030303,2.22611383838384,-12.312057372916,2.89597939386817e-26,6.38228608730514e-23,48.9514835715891,"TC19001371.hg.1"
"TC08000668.hg.1",-1.18378503636364,2.18527001515151,-12.2958488370647,3.2456118763088e-26,6.93606928342198e-23,48.8397866189589,"TC08000668.hg.1"
"TC01000785.hg.1",-1.50297566666667,4.25586421717172,-12.0872883380903,1.40440016652068e-25,2.60638191956678e-22,47.404203115947,"TC01000785.hg.1"
"TC10000082.hg.1",-1.27069073333333,3.00888126767677,-12.0755156606907,1.52531111005413e-25,2.75819270293199e-22,47.3232653314251,"TC10000082.hg.1"
"TC03003055.hg.1",-1.2160504969697,2.86731588888889,-12.0510874409746,1.81037105908754e-25,3.19181995500077e-22,47.155354996752,"TC03003055.hg.1"
"TC05003326.hg.1",-1.51740167272727,2.64798103030303,-12.0270049259782,2.14339713987708e-25,3.68679991452564e-22,46.9898677388288,"TC05003326.hg.1"
"TC07001811.hg.1",-1.18888533333333,4.44962773737374,-11.9722357932686,3.14632544879993e-25,4.93085132501594e-22,46.6136890693596,"TC07001811.hg.1"
"TC09000320.hg.1",-1.16672150909091,4.39990804545455,-11.906584522927,4.98283528344042e-25,7.17152025906263e-22,46.1631015384523,"TC09000320.hg.1"
