"TC_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"TC01000563.hg.1",1.32937550303031,5.23287831313131,9.07111583715842,1.14898555068326e-16,1.36644026965996e-14,27.2992961116153,"KIF2C"
"TC01000593.hg.1",-1.33997703030303,5.06458083838384,-5.32605139215782,2.70118185209091e-07,3.14245212396911e-06,6.30849554831152,"CYP4X1"
"TC01000594.hg.1",-1.00065373333333,4.65331997979798,-2.8735053466766,0.00450032142323637,0.0152650746828386,-2.84405131766404,"CYP4Z1"
"TC01000725.hg.1",-1.15617391515152,5.72722404040404,-8.62345120123353,2.04087262712288e-15,1.69128625478951e-13,24.4853398750268,"CACHD1"
"TC01000785.hg.1",-1.50297566666667,4.25586421717172,-12.0872883380903,1.40440016652068e-25,2.60638191956678e-22,47.404203115947,"AK5"
"TC01000846.hg.1",1.00510545454546,4.68018372727273,8.01026195488461,9.45722707823611e-14,5.21056269717535e-12,20.7375893078929,"CDC7"
"TC01001045.hg.1",1.04460254545454,5.0090746060606,8.48282151087907,4.97487731135926e-15,3.74832556227553e-13,23.6143486403408,"FAM72B"
"TC01001172.hg.1",1.11239044242424,4.58310648989899,7.57002034701811,1.36448760559549e-12,5.58813933852558e-11,18.1334775056614,"FCGR1A"
"TC01001382.hg.1",1.069147,7.21324016666667,7.12121619410812,1.91016770763458e-11,5.91355387381533e-10,15.5627164252225,"FCER1G"
"TC01001430.hg.1",1.76040970909091,4.66015412121212,8.90961040424388,3.26651091124187e-16,3.39770131258865e-14,26.2771263907624,"NUF2"
"TC01001488.hg.1",-1.45135016969697,5.51744425252525,-6.45369506422144,8.15209878434784e-10,1.71053395587195e-08,11.9151159224651,"FMO2"
"TC01001622.hg.1",1.27841104848484,5.63227275252525,6.36015718555658,1.35518954126232e-09,2.69825048047552e-08,11.4222506354048,"RGS1"
"TC01001747.hg.1",-1.03528773333334,6.26768291919192,-5.62962727268045,6.08856891188663e-08,8.24628664054122e-07,7.74281992666807,"MIR205"
"TC01001767.hg.1",1.51358398787878,4.98468205050505,9.45666743106932,9.21467082166681e-18,1.52546063463946e-15,29.7687906828308,"DTL"
"TC01001791.hg.1",2.05395629090909,5.92463163636363,9.7250566981692,1.55595556996052e-18,3.27201069644863e-16,31.5103110154123,"CENPF"
"TC01001976.hg.1",1.3831717030303,4.28529775252525,8.48932721773014,4.77466032126998e-15,3.61351394445775e-13,23.6544973902364,"EXO1"
"TC01002441.hg.1",1.07810138181818,8.93443269696969,7.77376795716014,4.0047468355048e-13,1.86666729068278e-11,19.3290454215317,"LAPTM5"
"TC01002500.hg.1",1.26591207272727,4.45375751515151,9.00749765475701,1.73558316965647e-16,1.93057621251866e-14,26.8957508982776,"CLSPN"
"TC01002766.hg.1",1.34632454545455,4.24820278787879,7.72296869504247,5.44489117787238e-13,2.44891620240494e-11,19.0293715440221,"DEPDC1"
"TC01002850.hg.1",1.53465741818182,5.87168709090909,7.06292774924433,2.67357443355234e-11,7.98595890628596e-10,15.2355181508011,"GBP5"
"TC01002864.hg.1",-1.41164610303031,6.32711303535354,-9.39085910039859,1.42141340947968e-17,2.21962851364646e-15,29.3444948965112,"TGFBR3"
"TC01002932.hg.1",1.23420347272728,5.70988725757576,5.95005238292225,1.19050441884682e-08,1.89521316321297e-07,9.31847595453408,"COL11A1"
"TC01003013.hg.1",-1.31206380606061,3.26390125252525,-11.2037821252925,6.65254285794527e-23,4.73896242394823e-20,41.3665244075435,"AMPD1"
"TC01003020.hg.1",-1.00295124242424,4.36061993434343,-6.95046489869923,5.09223409641702e-11,1.4133003745833e-09,14.6087524312354,"CASQ2"
"TC01003050.hg.1",-1.25754281818182,4.42207534848485,-4.30097677784181,2.66334554241929e-05,0.000183133049695033,1.9241642744841,"HMGCS2"
"TC01003085.hg.1",1.54975813939394,4.80749741919192,9.4867637496589,7.55498883361954e-18,1.28077037863786e-15,29.9632012501458,"FAM72D"
"TC01003174.hg.1",1.08134068484848,3.89533238888889,7.86442935878359,2.30877419475732e-13,1.15394530500971e-11,19.8664366403872,"FAM72C"
"TC01003209.hg.1",1.04053771515151,2.34670285353535,4.55437106564328,9.14794635434395e-06,7.15312807126509e-05,2.93851578273998,"HORMAD1"
"TC01003491.hg.1",-1.25910432727272,6.70503087878788,-5.05182617934877,9.87638187005143e-07,1.00044826001384e-05,5.06421146990776,"DPT"
"TC01003500.hg.1",1.15166038787879,5.28411759595959,5.22217184595262,4.43898325744854e-07,4.88683134975091e-06,5.83128673184149,"SELL"
"TC01003565.hg.1",-1.20893069090909,3.87976263636363,-6.17677591483791,3.62171288160882e-09,6.49577969353253e-08,10.4698344993264,"ANGPTL1"
"TC01003662.hg.1",2.24110681818182,4.6237481060606,10.5519813864131,5.87991773208441e-21,2.41086882685924e-18,36.9746512390872,"ASPM"
"TC01003679.hg.1",1.82281578787878,3.8098117020202,8.78193476967522,7.42090256794154e-16,6.95012366266854e-14,25.4745497345857,"KIF14"
"TC01003702.hg.1",1.26044844242424,5.58225836868687,8.66173585678719,1.59953002967446e-15,1.36731704585129e-13,24.7235723193173,"UBE2T"
"TC01003768.hg.1",-2.13339538787879,5.76834251010101,-8.84793298804911,4.85852568824012e-16,4.8055793423809e-14,25.8888009189634,"PIGR"
"TC01003798.hg.1",1.10457952727273,4.02623133333334,7.31424896040566,6.20539302530293e-12,2.17722851902208e-10,16.6574606151424,"NEK2"
"TC01004027.hg.1",1.01195672121212,5.28303947979798,5.8222506483437,2.29893608272712e-08,3.43636857486572e-07,8.68263636944941,"CHML"
"TC01006300.hg.1",1.4516389939394,4.96843322222222,8.89503501623101,3.58817811826505e-16,3.68876217834411e-14,26.185255652547,"STIL"
"TC01006307.hg.1",1.04146835151515,5.52949726262626,7.43612685017439,3.0256583736374e-12,1.14719626604317e-10,17.3572633415746,"FCGR3A"
"TC02000034.hg.1",1.12403323636363,5.51676296969697,5.62921763866123,6.10105069183099e-08,8.25843374165061e-07,7.74084547776626,"RSAD2"
"TC02000270.hg.1",-1.42000301818182,4.51547593939394,-10.4755954618742,9.89805547376641e-21,3.81442932336846e-18,36.4643680634707,"PLEKHH2"
"TC02000398.hg.1",1.03318719393939,6.09633454040404,6.28362782606302,2.04696156780307e-09,3.88426633486814e-08,11.0225309772441,"PLEK"
"TC02000582.hg.1",1.00141267878787,4.88127562626263,8.64711361862041,1.75563325706706e-15,1.48278472081605e-13,24.6325275443388,"NCAPH"
"TC02001202.hg.1",1.19061816363636,3.04906340909091,6.49735737932217,6.42038214176948e-10,1.38339324712499e-08,12.1467798340136,"ICOS"
"TC02002137.hg.1",-1.37029772121212,4.43074041414142,-7.32042427797665,5.98453307785308e-12,2.10812800324392e-10,16.6927605481081,"LONRF2"
"TC02002204.hg.1",1.57007921212121,5.07040258585859,10.372233148468,1.99935732627151e-20,6.81162689471717e-18,35.7755205006757,"BUB1"
"TC02002217.hg.1",1.39898364242424,4.29174106565656,9.68265325494536,2.0631838841997e-18,4.16382034740095e-16,31.2340156526026,"CKAP2L"
"TC02002378.hg.1",1.01632537575757,6.92045726767677,7.20090866004216,1.20323511778821e-11,3.91581680718864e-10,16.0126167056288,"CXCR4"
"TC02002468.hg.1",-1.24683775151515,5.44382411616162,-9.31396139614078,2.35544230415025e-17,3.43208383503282e-15,28.8501183314956,"PLA2R1"
"TC02002500.hg.1",-1.21256033333333,2.51102881313131,-8.71282923024864,1.15465595890737e-15,1.02685753076954e-13,25.0422377163942,"SCN7A"
"TC02002509.hg.1",-1.69190053333333,4.3672471010101,-6.81866850772118,1.07533404094695e-10,2.77380331271768e-09,13.8820082975357,"LRP2"
"TC02002624.hg.1",1.01342350909091,8.03165704545454,7.70328856313554,6.13134626324312e-13,2.71779341623315e-11,18.9135557538291,"STAT1"
"TC02002735.hg.1",-1.3215710060606,4.16866355555555,-7.93027991270998,1.54449051434569e-13,8.03260357988209e-12,20.2587889017461,"ERBB4"
"TC02002747.hg.1",1.30679106060605,9.54993833838384,8.92572707042799,2.94407823850061e-16,3.11282203319008e-14,26.3787857174072,"FN1"
"TC03000002.hg.1",-1.11189130909091,4.67089809090909,-7.23814282382847,9.68604666296395e-12,3.23443146792249e-10,16.2238182491647,"CHL1"
"TC03000146.hg.1",-1.25598959393939,5.87657667171717,-9.56008473334658,4.65279680335088e-18,8.37064257557943e-16,30.4377711685296,"RBMS3"
"TC03000242.hg.1",1.15708323030303,3.99618908585859,8.04104035896815,7.8255323268526e-14,4.40095706767644e-12,20.9224876216872,"KIF15"
"TC03000402.hg.1",-1.52607986060606,4.32130796464647,-15.3259542970359,1.5986797613266e-35,5.4335696712303e-31,69.8233203242145,"ADAMTS9-AS2"
"TC03000626.hg.1",1.06944618181818,5.12864554545455,8.18869969946845,3.13929767275741e-14,1.95749504664784e-12,21.8144396962177,"CD86"
"TC03000705.hg.1",-1.13673694545454,4.57537081818182,-8.79097046928822,7.00335168672453e-16,6.60290602945019e-14,25.5311851707085,"COL6A6"
"TC03000846.hg.1",-1.31811238787878,5.68398788888889,-7.06616001984601,2.62429486078177e-11,7.86207079298694e-10,15.2536205851519,"MME"
"TC03000873.hg.1",1.09763787272727,5.78157692424242,8.91457486178778,3.16362254329894e-16,3.3130691260264e-14,26.3084325380594,"SMC4"
"TC03000930.hg.1",1.29734084848485,5.39313158585859,8.53982730115742,3.4694181907149e-15,2.7276898446353e-13,23.9666291753099,"ECT2"
"TC03001027.hg.1",-1.61033364848484,5.71158841414142,-4.44068890432076,1.48580710437618e-05,0.000109951284807892,2.47756621903754,"ADIPOQ"
"TC03001042.hg.1",-1.46789514545454,4.46339998484849,-10.2076362612969,6.10029008898042e-20,1.86238423352886e-17,34.682668179369,"TP63"
"TC03001169.hg.1",-1.14865747878787,5.02576504040404,-4.97656000380241,1.39785579852455e-06,1.34926232293689e-05,4.73151644985038,"TIMP4"
