"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC15000306.hg.1",1.88076056969697,5.9589562020202,12.2413796937148,4.75977607103131e-26,9.59067679592403e-23,48.4645575554957,"TC15000306.hg.1"
"TC10001756.hg.1",2.13292738181818,6.34742436363636,12.1726083328323,7.71621590991685e-26,1.51158526281963e-22,47.9911014065163,"TC10001756.hg.1"
"TC13001100.hg.1",1.50692043636364,6.25432845454546,11.9813441197165,2.95180984686071e-25,4.73114740523087e-22,46.6762317754542,"TC13001100.hg.1"
"TC17001462.hg.1",2.44395686666667,6.10556993434344,11.8916737707896,5.53099055655505e-25,7.64827543176337e-22,46.0608161486618,"TC17001462.hg.1"
"TC07000235.hg.1",2.42070238787879,6.08572080808081,11.6092115048613,3.97821089098904e-24,4.00793380950314e-21,44.1271078769342,"TC07000235.hg.1"
"TC20000198.hg.1",2.16948447272727,6.36667284848485,11.5573644244322,5.70934072277063e-24,5.37763495608629e-21,43.7730374567654,"TC20000198.hg.1"
"TC13000223.hg.1",1.13576403030303,5.22836644949495,11.533467380806,6.74309914187382e-24,6.01953899724515e-21,43.6099384438962,"TC13000223.hg.1"
"TC01006023.hg.1",2.19164812121212,6.75248952525253,11.3191402769729,2.99082893586457e-23,2.29263292439105e-20,42.150021627127,"TC01006023.hg.1"
"TC06001342.hg.1",1.74878106666667,5.23667101010101,11.2887497317708,3.69257736061571e-23,2.8001250882011e-20,41.94345193619,"TC06001342.hg.1"
"TC10000659.hg.1",1.97476687272727,5.04518612121212,11.0917368727626,1.44374870559986e-22,9.17274684369542e-20,40.6071695784899,"TC10000659.hg.1"
"TC14001155.hg.1",1.87724335151515,5.1580877020202,10.9938509305104,2.83700527908898e-22,1.65350515121646e-19,39.9451688351815,"TC14001155.hg.1"
"TC04001516.hg.1",2.05687386060606,6.2183237929293,10.9839057751656,3.03831844885944e-22,1.74204334934076e-19,39.8779851394657,"TC04001516.hg.1"
"TC06001429.hg.1",1.23673881818182,6.47597801515152,10.8855128563621,5.98216406290785e-22,3.1720312496876e-19,39.2140706249981,"TC06001429.hg.1"
"TC17002618.hg.1",2.22242328484849,5.70811082828283,10.7151589641064,1.92647119652905e-21,9.14700707112455e-19,38.0680425317611,"TC17002618.hg.1"
"PSR01009089.hg.1",1.51406135757576,5.28146904040404,10.7146978910267,1.93256675637389e-21,9.14700707112455e-19,38.0649469032884,"PSR01009089.hg.1"
"TC10000664.hg.1",1.75516647272727,4.75297506060606,10.7045601626791,2.07155711028558e-21,9.67499484030928e-19,37.9968911778718,"TC10000664.hg.1"
"TC05000604.hg.1",1.36902106666667,5.79731237373738,10.6156601358811,3.80614852051539e-21,1.62679401280186e-18,37.4008118691919,"TC05000604.hg.1"
"TC01003662.hg.1",2.24110681818182,4.6237481060606,10.5519813864131,5.87991773208441e-21,2.41086882685924e-18,36.9746512390872,"TC01003662.hg.1"
"TC15000223.hg.1",1.32233482424243,5.39103832323232,10.5486719039146,6.01422575114099e-21,2.45168348351281e-18,36.9525218602074,"TC15000223.hg.1"
"TC15002760.hg.1",1.24602718181818,4.75357271212121,10.546783837866,6.0922134917915e-21,2.46920213840007e-18,36.9398978493772,"TC15002760.hg.1"
"TC04000155.hg.1",1.65681338787879,4.73764121717172,10.4852820056186,9.2660054867336e-21,3.610312181994e-18,36.52902094921,"TC04000155.hg.1"
"TC06000223.hg.1",1.11917673333333,6.32880133838384,10.4660610936293,1.0562092776301e-20,3.98654519305656e-18,36.4007470591564,"TC06000223.hg.1"
"TC17002860.hg.1",1.38915187272727,7.80516959090909,10.44132197958,1.2499392665532e-20,4.61515533482364e-18,36.2357430289917,"TC17002860.hg.1"
"TC02002204.hg.1",1.57007921212121,5.07040258585859,10.372233148468,1.99935732627151e-20,6.81162689471717e-18,35.7755205006757,"TC02002204.hg.1"
"TC20001661.hg.1",1.54135214545454,5.73159245454545,10.364620469762,2.10545317896128e-20,7.07061307332792e-18,35.7248633024333,"TC20001661.hg.1"
"TC04001436.hg.1",1.78028578181818,4.45842357575757,10.3201145677667,2.84794608216073e-20,9.29841210889914e-18,35.4289216738781,"TC04001436.hg.1"
"TC09002074.hg.1",1.90526902424242,6.3355863989899,10.2018956712802,6.3417076005033e-20,1.91946886313431e-17,34.6446469130758,"TC09002074.hg.1"
"TC17000718.hg.1",1.6400982,5.23855428787879,10.1371239904844,9.82191108578299e-20,2.79302675605917e-17,34.2160998339713,"TC17000718.hg.1"
"TC04002654.hg.1",1.74535863030303,5.06168213131313,10.0752945923362,1.49010090401373e-19,4.12103474720628e-17,33.8078049850374,"TC04002654.hg.1"
"TC01001175.hg.1",1.28764898181818,6.55941663636364,10.0709122358061,1.53473444241593e-19,4.2278936360351e-17,33.7788953530884,"TC01001175.hg.1"
"TC16000258.hg.1",1.36963497575758,6.3000912979798,10.0455038228946,1.82101830494945e-19,4.88302942661407e-17,33.6113585349,"TC16000258.hg.1"
"TC01001174.hg.1",1.06066057575758,9.35555411616161,10.0420937958461,1.86328408513876e-19,4.97743877031214e-17,33.5888838221013,"TC01001174.hg.1"
"TC01005765.hg.1",1.89777227272727,4.84280168181818,10.0350742150432,1.9533873444978e-19,5.17889983819618e-17,33.5426269671261,"TC01005765.hg.1"
"TC01003189.hg.1",1.279125,6.54269943939394,9.90142073522397,4.79103176036522e-19,1.15316700626702e-16,32.6638788599996,"TC01003189.hg.1"
"TC06001343.hg.1",1.40878508484848,5.96971226767677,9.88332474768274,5.40824987017088e-19,1.27988592481228e-16,32.5451965332509,"TC06001343.hg.1"
"TC05002418.hg.1",1.86721038787879,5.91388114141414,9.87779579478662,5.61216150005011e-19,1.3237005534048e-16,32.5089492773787,"TC05002418.hg.1"
"TC01001791.hg.1",2.05395629090909,5.92463163636363,9.7250566981692,1.55595556996052e-18,3.27201069644863e-16,31.5103110154123,"TC01001791.hg.1"
"TC10000373.hg.1",1.5466245030303,4.36547981313131,9.69268385460596,1.93004338391011e-18,3.9338820956105e-16,31.2993358235055,"TC10000373.hg.1"
"TC02002217.hg.1",1.39898364242424,4.29174106565656,9.68265325494536,2.0631838841997e-18,4.16382034740095e-16,31.2340156526026,"TC02002217.hg.1"
"PSR01009073.hg.1",1.07697022424242,7.09463276262627,9.6454787920979,2.64130156180461e-18,5.11737664953699e-16,30.9921389335011,"PSR01009073.hg.1"
"3155326_st",1.06990447878788,7.73696561111111,9.60778461643463,3.39198058011184e-18,6.36519335545216e-16,30.7472162796389,"3155326_st"
"TC15000290.hg.1",1.28500353333333,3.94340742929293,9.60589532108373,3.43474487132922e-18,6.42515948437005e-16,30.7349493129506,"TC15000290.hg.1"
"TC16000634.hg.1",1.05308531515151,5.32086318686869,9.58518517171617,3.94016960237338e-18,7.21746963293968e-16,30.6005373059981,"TC16000634.hg.1"
"TC05000697.hg.1",1.27829267878788,5.20711602020202,9.57507990579672,4.21298341040614e-18,7.6575316765998e-16,30.5349903191091,"TC05000697.hg.1"
"3155304_st",1.09037538181818,7.37048778787879,9.5361127630109,5.45262268818394e-18,9.63747643706256e-16,30.2824664904762,"3155304_st"
"TC05003257.hg.1",1.51934730909091,4.22834909090909,9.52511310820622,5.8640305012913e-18,1.02617623583763e-15,30.2112515145503,"TC05003257.hg.1"
"TC18000009.hg.1",1.81408376969697,4.60338435353536,9.51533346070425,6.25564872709277e-18,1.08661851029745e-15,30.1479603444598,"TC18000009.hg.1"
"TC01003085.hg.1",1.54975813939394,4.80749741919192,9.4867637496589,7.55498883361954e-18,1.28077037863786e-15,29.9632012501458,"TC01003085.hg.1"
"TC01001767.hg.1",1.51358398787878,4.98468205050505,9.45666743106932,9.21467082166681e-18,1.52546063463946e-15,29.7687906828308,"TC01001767.hg.1"
"TC13000468.hg.1",1.15032575151515,4.48615142929293,9.45133570556365,9.54439786571694e-18,1.56693020212119e-15,29.7343736074942,"TC13000468.hg.1"
"TC0X000750.hg.1",1.24056405454545,8.53721704545454,9.43446361602288,1.06670789982556e-17,1.72145174415098e-15,29.6255092561348,"TC0X000750.hg.1"
"TC11000482.hg.1",1.71819598787879,4.90715835353535,9.40157461394202,1.3246520821567e-17,2.09458382937078e-15,29.4135070577908,"TC11000482.hg.1"
"TC19000789.hg.1",1.57915998787879,6.38230956565657,9.37601473748742,1.56716871078658e-17,2.39742817767467e-15,29.248940276033,"TC19000789.hg.1"
"TC01006091.hg.1",2.12713624848485,4.90075844949495,9.35803153712564,1.76377304527432e-17,2.65216559641537e-15,29.1332571897602,"TC01006091.hg.1"
"TC06000270.hg.1",1.02857236969696,5.78510927777778,9.29555317111986,2.65756137893438e-17,3.84055740013503e-15,28.7320019736187,"TC06000270.hg.1"
